Date,Open,High,Low,Close
1/2/1991,262.07,264.46,260.03,261.39
1/3/1991,261.41,261.6,257.67,259.4
1/4/1991,259.4,261.81,258.63,261
1/7/1991,262.06,262.1,258.86,259.41
1/8/1991,259.41,260.87,258.66,259.18
1/9/1991,259.03,260.28,257.66,260.01
1/10/1991,259.73,260.3,256.29,256.99
1/11/1991,257.03,258,255.07,255.67
1/14/1991,257.71,258.24,255.5,257.08
1/15/1991,257.49,259.57,257.03,259.57
1/16/1991,259.57,261.44,259.15,260.79
1/17/1991,260.93,263.57,254.75,255.57
1/18/1991,255.67,259.35,255.47,258.83
1/21/1991,256.78,259.56,256.67,259.27
1/22/1991,258.88,258.88,256.16,257.42
1/23/1991,257.58,259.44,257.28,258.26
1/24/1991,258.36,259.74,257.28,259.04
1/25/1991,259.11,259.79,258.59,259.5
1/28/1991,259.69,260.3,258.65,258.99
1/29/1991,259.05,259.68,258.08,259.04
1/30/1991,259.04,259.12,257.35,257.48
1/31/1991,257.48,259.55,256.8,258.33
2/1/1991,258.33,260.34,257.64,259.38
2/4/1991,258.96,260.4,258.39,258.98
2/5/1991,258.98,259.11,257.19,258.09
2/6/1991,258.07,258.07,256.22,256.98
2/7/1991,256.98,257.24,255.27,255.98
2/8/1991,255.85,256.38,253.87,254.33
2/11/1991,254.33,255.54,253.66,255.37
2/12/1991,255.37,256.49,254.7,256.31
2/13/1991,256.31,258.04,255.41,257.52
2/14/1991,257.52,257.82,256.01,256.9
2/15/1991,256.9,257.33,256.22,256.74
2/19/1991,255.75,257.2,255.58,256.88
2/20/1991,256.88,257.27,256.1,256.42
2/21/1991,256.4,257.61,255.97,257.1
2/22/1991,257.22,258.98,256.2,257.37
2/25/1991,257.31,260.3,256.1,257.26
2/26/1991,257.22,257.41,254.98,255.3
2/27/1991,255.32,255.62,253.33,253.85
2/28/1991,253.85,254.87,253.06,254.31
3/1/1991,254.43,256.1,254.33,255.32
3/4/1991,255.55,258.02,255.39,257.6
3/5/1991,257.64,258.19,256.68,258.02
3/6/1991,258.02,258.36,257,257.48
3/7/1991,257.59,257.6,256.12,256.26
3/8/1991,256.26,256.7,254.67,255.23
3/11/1991,254.99,256.9,254.99,255.67
3/12/1991,255.86,256.25,252.94,253
3/13/1991,253,254.82,252.12,253.14
3/14/1991,253,253.17,251.64,251.9
3/15/1991,251.9,253.15,250.29,251.3
3/18/1991,251.48,251.9,246.93,247.95
3/19/1991,247.95,248.46,242.87,245.51
3/20/1991,245.6,247.56,244.37,247.1
3/21/1991,247.14,248.41,245.74,245.83
3/22/1991,245.83,247.35,244.96,245.27
3/25/1991,245.48,246.33,242.57,243.34
3/26/1991,243.43,244.66,241.36,244.11
3/27/1991,244.2,244.87,241.3,243.53
3/28/1991,243.53,246.42,242.34,245.81
4/1/1991,245.75,247.98,245.72,246.49
4/2/1991,246.62,247.81,244.23,245.12
4/3/1991,245.21,246,243.18,243.18
4/4/1991,242.68,243.51,241.86,242.83
4/5/1991,242.55,243.99,241.27,241.3
4/8/1991,241.89,242.98,240.23,241.78
4/9/1991,242.02,243.65,241.56,241.7
4/10/1991,241.52,244.56,241.46,244.24
